Country Name,Year,Cellphone,Internetuser,Radio,Telephone,Tv,Xlpopulation,Xlrealgdp
Afghanistan,1975,0,,112,25000,,14132,10184
Afghanistan,1976,0,,115,28000,,14501,10694
Afghanistan,1977,0,,120,28000,,14880,9959
Afghanistan,1978,0,,125,31000,10626.91,15269,10752
Afghanistan,1979,0,,126,31000,32100.31,15556,10715
Afghanistan,1980,0,,130,32000,44906.85,14985,10427
Afghanistan,1981,0,,131,,50966.9,14087,10547
Afghanistan,1982,0,,135,,62424.6,13645,10726
Afghanistan,1983,0,,204,,74014.71,13709,11157
Afghanistan,1984,0,,308,,85769.98,13826,11336
Afghanistan,1985,0,,465,,108760.9,13898,11299
Afghanistan,1986,0,,702,,127027.1,13937,12161
Afghanistan,1987,0,,1060,,130273.3,14074,10064
Afghanistan,1988,0,,1600,,136218.6,14332,9228
Afghanistan,1989,0,,1659,35000,142161.3,14646,9284
Afghanistan,1990,0,,1720,36000,147375,14767,8861
Afghanistan,1991,0,,1838,37000,162961.5,14964,8932
Afghanistan,1992,0,,1965,29000,185611.8,16624,9021
Afghanistan,1993,0,,2101,29000,193517.3,18888,8741
Afghanistan,1994,0,,2245,29000,201956.7,20382,8479
Afghanistan,1995,0,,2400,29000,223092.6,21571,10700
Afghanistan,1996,0,,2550,29000,276161.4,22664,11342
Afghanistan,1997,0,,2750,29000,294568.8,23738,12023
Afghanistan,1998,0,,2970,29000,340207.5,24792,12744
Albania,1990,0,,570,41298.047,280000,3273,8125
Albania,1991,0,,587,43217.152,293000,3259,5850
Albania,1992,0,,613,46836.195,306000,3189,5426
Albania,1993,0,,641,44760.953,320000,3154,5949
Albania,1994,0,,670,42807.605,335000,3178,6446
Albania,1995,0,355.6956,700,42835.914,350000,3219,7303
Albania,1996,2312.508,1005.541,800,64197.234,400000,3263,7963
Albania,1997,3297.883,1498.821,810,86744.32,405000,3300,7403
Albania,1998,5583.794,1994.424,820,115340.25,410000,3331,7999
Albania,1999,11000.9,2498.783,830,140301.48,415000,3365,8639
Albania,2000,29973.94,3521.493,,153624.64,,3379.08,8875.71
Algeria,1975,0,,1010,250000,410000,16140,40705
Algeria,1976,0,,1562,273000,450000,16635,43387
Algeria,1977,0,,2115,298000,460000,17153,47319
Algeria,1978,0,,2667,346000,520000,17703,53387
Algeria,1979,0,,3220,414000,521000,18266,58193
Algeria,1980,0,,3429,485000,525000,18862,59273
Algeria,1981,0,,3651,550000,791660,19484,60766
Algeria,1982,0,,3888,607000,1058330,20132,64662
Algeria,1983,0,,4141,656000,1325000,20803,68012
Algeria,1984,0,,4409,709000,1428460,21488,71774
Algeria,1985,0,,4695,769000,1540000,22182,75512
Algeria,1986,0,,5000,822000,1600000,22844,74747
Algeria,1987,0,,5250,889000,1607000,23485,74225
Algeria,1988,0,,5456,959000,1700000,24102,72672
Algeria,1989,0,,5635,,1768620,24725,75123
Algeria,1990,470,,5820,,1840000,25352,73934
Algeria,1991,4781,,5986,,1956000,25983,73047
Algeria,1992,4781,,6157,,2080000,26618,74216
Algeria,1993,4781,,6333,,2212000,27257,72583
Algeria,1994,1348,100,6514,,2351000,27898,71784
Algeria,1995,4691,500,6700,,2500000,28539,74584
Algeria,1996,11700,500,6870,,3000000,29183,77418
Algeria,1997,17400,3000,7100,,3100000,29830,78270
Algeria,1998,18000,6000,7338,,3200000,30481,81948
Algeria,1999,72000,60000,7583,,3310000,30935.2,83734.5
Algeria,2000,85997.17,149995.1,,,,31381.3,84035.9
Angola,1975,0,,112,,650,5892,6314
Angola,1976,0,,116,,900,5955,5669
Angola,1977,0,,118,23000,1200,6184,5799
Angola,1978,0,,125,29000,1500,6311,6037
Angola,1979,0,,135,29000,10750,6493,6184
Angola,1980,0,,145,40000,20000,6794,6483
Angola,1981,0,,172,40000,23630,6951,6353
Angola,1982,0,,203,41000,27930,7114,6050
Angola,1983,0,,241,42000,33000,7260,5851
Angola,1984,0,,285,43000,35190,7400,5881
Angola,1985,0,,338,43000,37520,7572,5911
Angola,1986,0,,400,44000,40000,7750,5379
Angola,1987,0,,359,45000,50000,7913,5985
Angola,1988,0,,322,43000,52000,8090,6843
Angola,1989,0,,290,67000,54000,8249,6959
Angola,1990,0,,260,70000,57000,8430,7202
Angola,1991,0,,279,72000,61000,8671,7252
Angola,1992,0,,299,49341.43,65000,8960,7180
Angola,1993,1100.963,,321,53346.68,70000,9232,5241
Angola,1994,1806.57,,345,52513.344,75000,9494,5315
Angola,1995,2011.771,,370,53210.02,80000,9877,5915
Angola,1996,3291.513,99.8067,600,52521.492,100000,10250,6607
Angola,1997,6978.25,742.1778,630,61627.68,150000,10549,7043
Angola,1998,9533.326,2427.098,661,63199.547,188000,10865,7029
Argentina,1975,0,,7093,1996000,3900000,26021,211850
Argentina,1976,0,,6125,2302000,3925000,26457,211327
Argentina,1977,0,,6150,2342000,4500000,26895,224084
Argentina,1978,0,,6500,2404000,4510000,27338,214233
Argentina,1979,0,,8500,2491000,4715000,27785,229547
Argentina,1980,0,,9000,2588000,5140000,28237,232802
Argentina,1981,0,,9500,2767000,5520000,28701,219434
Argentina,1982,0,,10000,3235000,5900000,29151,212518
Argentina,1983,0,,10250,3108000,5910000,29584,220016
Argentina,1984,0,,10500,2954000,6107710,29993,224491
Argentina,1985,0,,14443,3048000,6312030,30407,209641
Argentina,1986,0,,19966,3206000,6523190,30853,224985
Argentina,1987,0,,20496,3655000,6741410,31303,230797
Argentina,1988,0,,21041,3694000,6850000,31749,226438
Argentina,1989,2290.679,,21600,,6974000,32194,212373
Argentina,1990,11912.53,,21800,,7100000,32634,212518
Argentina,1991,25017.22,,22130,,7197000,33083,233770
Argentina,1992,46639.47,1001.072,22465,,7296000,33531,254575
Argentina,1993,112171.5,10015.35,22805,,7396000,33963,269341
Argentina,1994,241707.5,15033.85,23150,,7497000,34412,291696
Argentina,1995,341744.6,30088.18,23500,,7600000,34877,282653
Argentina,1996,569850.4,50162.89,23850,,7800000,35335,295090
Argentina,1997,1593074,100320.9,24300,,7950000,35798,318698
Argentina,1998,2536341,300751.3,24758,,8100000,36265,334314
Argentina,1999,4440374,1201722,25226,,8260000,36587.8,321175
Argentina,2000,6049963,2600000,,,,36906.1,316165
Armenia,1990,0,,,556489.5,715486.5,3335,20483
Armenia,1991,0,,810,557707.81,731132.4,3612,18077
Armenia,1992,0,,815,549502.81,731530.4,3686,10534
Armenia,1993,0,,820,537796.56,737389.4,3732,9602
Armenia,1994,0,268.7516,825,525958.63,725629.5,3748,10122
Armenia,1995,0,1498.488,830,513717.09,718393,3760,10816
Armenia,1996,259.7138,2597.138,840,501680.5,709884.4,3774,11444
Armenia,1997,4253.271,2977.29,850,483001.44,701789.7,3786,11835
Armenia,1998,6558.823,3350.185,860,466178.16,703538.7,3795,12679
Armenia,1999,6746.827,24801.47,870,449896.22,702708.4,3750.6,13278.7
Armenia,2000,14311.08,32737.22,,436540.16,703850.2,3712.23,14018.3
Australia,1975,0,,14000,5267000,3700000,13893,181367
Australia,1976,0,,13400,5502000,3925000,14033,188678
Australia,1977,0,,15000,5835000,4970520,14192,190653
Australia,1978,0,,14500,6266000,5511000,14359,196184
Australia,1979,0,,14000,6677000,5515000,14516,206515
Australia,1980,0,,15000,7153000,5525000,14695,210642
Australia,1981,0,,16300,,5619750,14923,218780
Australia,1982,0,,17600,8241000,6500000,15184,218512
Australia,1983,0,,18090,8298000,6706030,15393,218539
Australia,1984,0,,18593,8329000,6918590,15579,233618
Australia,1985,0,,19111,8727000,7137890,15788,245444
Australia,1986,0,,19643,9168000,7364140,16018,250539
Australia,1987,4423,,19990,9613000,7602900,16264,262925
Australia,1988,31648.8,,20800,10002000,7900000,16538,274737
Australia,1989,94590.88,,21196,10465000,8208710,16833,286820
Australia,1990,184943,100000.6,21600,10982000,8229480,17085,291180
Australia,1991,291324.2,189912.1,21900,11347000,8350000,17284,288661
Australia,1992,495950.9,309345.7,22300,11645000,8470000,17489,296225
Australia,1993,690218.9,350111,22600,12044000,8600000,17657,307489
Australia,1994,1220588,400192.8,22900,,8720000,17838,322819
Australia,1995,2242000,500000,23300,,8850000,18072,336990
