Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
Afghanistan,1919,,,0,,,
Afghanistan,1920,,,0,,,
Afghanistan,1921,,,0,,,
Afghanistan,1922,,,0,,,
Afghanistan,1923,,,0,,,
Afghanistan,1924,,,0,,,
Afghanistan,1925,,,0,,,
Afghanistan,1926,,,0,,,
Afghanistan,1927,,,0,,,
Afghanistan,1928,,,0,,,
Afghanistan,1929,,,0,,,
Afghanistan,1930,,,0,,,
Afghanistan,1931,,,0,,,
Afghanistan,1932,,,0,,,
Afghanistan,1933,,,0,,,
Afghanistan,1934,,,0,,,
Afghanistan,1935,,,0,,,
Afghanistan,1936,,,0,,,
Afghanistan,1937,,,0,,,
Afghanistan,1938,,,0,,,
Afghanistan,1939,,,0,,,
Afghanistan,1946,,,5,,,
Afghanistan,1947,,,6,,,
Afghanistan,1948,,,6,,,
Afghanistan,1949,,,7,,,
Afghanistan,1950,,,8,,8150,5255
Afghanistan,1951,,,8,4000,8284,5408
Afghanistan,1952,,,9,6000,8425,5591
Afghanistan,1953,,,10,6000,8573,5933
Afghanistan,1954,,,10,6000,8728,6059
Afghanistan,1955,,,11,6000,8891,6180
Afghanistan,1956,,,12,6000,9062,6458
Afghanistan,1957,,,15,6000,9241,6458
Afghanistan,1958,,,18,7000,9429,6821
Afghanistan,1959,,,21,7000,9625,7016
Afghanistan,1960,,,24,8000,9829,7268
Afghanistan,1961,,,29,,10043,7331
Afghanistan,1962,,,35,9000,10267,7457
Afghanistan,1963,,,41,9000,10501,7594
Afghanistan,1964,,,47,9000,10744,7741
Afghanistan,1965,,,53,9000,10998,7914
Afghanistan,1966,,,59,9000,11262,7993
Afghanistan,1967,,,65,10000,11538,8214
Afghanistan,1968,,,70,10000,11825,8508
Afghanistan,1969,,,76,,12123,8645
Afghanistan,1970,,,82,17000,12431,8819
Afghanistan,1971,,,88,21000,12749,8398
Afghanistan,1972,,,94,23000,13079,8240
Afghanistan,1973,,,100,,13421,9181
Afghanistan,1974,,,106,23000,13772,9680
Afghanistan,1975,0,,112,25000,14132,10184
Afghanistan,1976,0,,115,28000,14501,10694
Afghanistan,1977,0,,120,28000,14880,9959
Afghanistan,1978,0,,125,31000,15269,10752
Afghanistan,1979,0,,126,31000,15556,10715
Afghanistan,1980,0,,130,32000,14985,10427
Afghanistan,1981,0,,131,,14087,10547
Afghanistan,1982,0,,135,,13645,10726
Afghanistan,1983,0,,204,,13709,11157
Afghanistan,1984,0,,308,,13826,11336
Afghanistan,1985,0,,465,,13898,11299
Afghanistan,1986,0,,702,,13937,12161
Afghanistan,1987,0,,1060,,14074,10064
Afghanistan,1988,0,,1600,,14332,9228
Afghanistan,1989,0,,1659,35000,14646,9284
Afghanistan,1990,0,,1720,36000,14767,8861
Afghanistan,1991,0,,1838,37000,14964,8932
Afghanistan,1992,0,,1965,29000,16624,9021
Afghanistan,1993,0,,2101,29000,18888,8741
Afghanistan,1994,0,,2245,29000,20382,8479
Afghanistan,1995,0,,2400,29000,21571,10700
Afghanistan,1996,0,,2550,29000,22664,11342
Afghanistan,1997,0,,2750,29000,23738,12023
Afghanistan,1998,0,,2970,29000,24792,12744
Afghanistan,1999,0,,3200,,25588.6,
Albania,1913,,,0,,,
Albania,1919,,,0,,,
Albania,1920,,,0,,,
Albania,1921,,,0,,,
Albania,1922,,,0,,,
Albania,1923,,,0,,,
Albania,1924,,,0,,,
Albania,1925,,,0,,,
Albania,1926,,,0,,,
Albania,1927,,,0,,,
Albania,1928,,,0,,,
Albania,1929,,,0,,,
Albania,1930,,,0,,,
Albania,1931,,,0,,,
Albania,1932,,,0,,1000,
Albania,1933,,,0,,,
Albania,1934,,,0,,,
Albania,1935,,,0,,,
Albania,1936,,,0,,,
Albania,1937,,,0,,,
Albania,1938,,,0,,1050,
Albania,1939,,,0,,1060,
Albania,1946,,,5,,1130,
Albania,1947,,,6,,1140,
Albania,1948,,,7,,1160,
Albania,1949,,,8,,1180,
Albania,1950,,,9,,1210,
Albania,1951,,,10,,1240,
Albania,1952,,,11,,1270,
Albania,1953,,,12,,1300,
Albania,1954,,,17,,1340,
Albania,1955,,,22,,1380,
Albania,1956,,,27,,1420,
Albania,1957,,,32,,1460,
Albania,1958,,,37,,1510,
Albania,1959,,,43,,1560,
Albania,1960,,,54,,1610,
Albania,1961,,,60,,1660,
Albania,1962,,,65,,1710,
Albania,1963,,,70,,1760,
Albania,1964,,,76,,1810,
Albania,1965,,,130,,1860,
Albania,1966,,,130,,1910,
Albania,1967,,,135,,1960,
Albania,1968,,,150,,2020,
Albania,1969,,,160,,2080,
Albania,1970,,,161,,2140,
Albania,1971,,,170,,2190,
Albania,1972,,,172,,2240.71,
Albania,1973,,,172,,2292.6,
Albania,1974,,,174,,2345.68,
Albania,1975,0,,177,21463.416,2400,
Albania,1976,0,,180,22358.883,2450,
Albania,1977,0,,200,23687.287,2510,
Albania,1978,0,,224,24639.291,2560,
Albania,1979,0,,251,25973.561,2620,
Albania,1980,0,,281,27300,2670,
Albania,1981,0,,314,28970.029,2720,
Albania,1982,0,,351,29959.027,2780,
Albania,1983,0,,393,30956.619,2840,
Albania,1984,0,,440,31951.824,2900,
Albania,1985,0,,493,33218.832,2960,
Albania,1986,0,,508,34899.457,3020,
Albania,1987,0,,522,35851.906,3080,
Albania,1988,0,,538,36811.402,3140,
Albania,1989,0,,554,39223.512,3200,
Albania,1990,0,,570,41298.047,3273,8125
Albania,1991,0,,587,43217.152,3259,5850
Albania,1992,0,,613,46836.195,3189,5426
Albania,1993,0,,641,44760.953,3154,5949
